"id","convictions","record","conceptionWanted","familyIncome"
1,0,"no convictions","unwelcome","comfortable"
2,0,"no convictions","unwelcome","adequate"
3,1,"convicted","welcome","adequate"
4,2,"convicted","unwelcome","inadequate"
5,3,"convicted",NA,"adequate"
6,0,"no convictions","welcome","inadequate"
7,0,"no convictions",NA,"adequate"
8,0,"no convictions","welcome","comfortable"
9,2,"convicted","welcome","adequate"
10,4,"convicted","unwelcome","adequate"
11,0,"no convictions","welcome","adequate"
12,1,"convicted",NA,"inadequate"
13,12,"convicted","welcome","inadequate"
14,0,"no convictions","wanted","adequate"
15,0,"no convictions","welcome","inadequate"
16,0,"no convictions","wanted","comfortable"
17,2,"convicted","wanted","adequate"
18,0,"no convictions","wanted","comfortable"
19,0,"no convictions","welcome","adequate"
20,4,"convicted","welcome","inadequate"
21,0,"no convictions","welcome","adequate"
22,1,"convicted","wanted","adequate"
23,3,"convicted","welcome","adequate"
24,0,"no convictions","wanted","comfortable"
25,0,"no convictions","wanted","comfortable"
26,0,"no convictions","welcome","comfortable"
27,0,"no convictions","unwelcome","comfortable"
28,1,"convicted","wanted","inadequate"
29,0,"no convictions","welcome","adequate"
30,4,"convicted","unwelcome","inadequate"
31,0,"no convictions","welcome","comfortable"
32,0,"no convictions","wanted","adequate"
33,0,"no convictions","wanted","adequate"
34,0,"no convictions","wanted","adequate"
35,4,"convicted","welcome","inadequate"
36,1,"convicted","welcome","inadequate"
37,0,"no convictions","welcome","inadequate"
38,0,"no convictions","unwelcome","inadequate"
39,0,"no convictions","unwelcome","inadequate"
40,0,"no convictions","wanted","comfortable"
41,3,"convicted","welcome","adequate"
42,2,"convicted","wanted","comfortable"
43,0,"no convictions",NA,"adequate"
44,2,"convicted","unwelcome","inadequate"
45,2,"convicted","unwelcome","inadequate"
46,2,"convicted","welcome","inadequate"
47,NA,NA,"unwelcome","comfortable"
48,0,"no convictions","wanted","adequate"
49,0,"no convictions","welcome","adequate"
50,1,"convicted","wanted","inadequate"
51,0,"no convictions","wanted","adequate"
52,0,"no convictions","welcome","adequate"
53,6,"convicted","welcome","inadequate"
54,0,"no convictions","unwelcome","comfortable"
55,0,"no convictions","wanted","adequate"
56,0,"no convictions",NA,"adequate"
57,5,"convicted","wanted","adequate"
58,0,"no convictions","welcome","comfortable"
59,0,"no convictions","wanted","adequate"
60,0,"no convictions",NA,"adequate"
61,0,"no convictions","welcome","comfortable"
62,1,"convicted","welcome","adequate"
63,NA,NA,"welcome","adequate"
64,0,"no convictions","welcome","adequate"
65,11,"convicted",NA,"inadequate"
66,0,"no convictions","welcome","adequate"
67,0,"no convictions","welcome","inadequate"
68,0,"no convictions","welcome","comfortable"
69,0,"no convictions","wanted","inadequate"
70,1,"convicted",NA,"adequate"
71,0,"no convictions","unwelcome","inadequate"
72,0,"no convictions","welcome","adequate"
73,0,"no convictions","wanted","comfortable"
74,0,"no convictions","welcome","adequate"
75,0,"no convictions",NA,"adequate"
76,0,"no convictions",NA,"comfortable"
77,1,"convicted","welcome","adequate"
78,1,"convicted","welcome","adequate"
79,0,"no convictions","wanted","adequate"
80,3,"convicted","wanted","comfortable"
81,0,"no convictions","wanted","inadequate"
82,0,"no convictions",NA,"inadequate"
83,0,"no convictions","welcome","adequate"
84,0,"no convictions","wanted","adequate"
85,0,"no convictions","welcome","adequate"
86,1,"convicted","welcome","comfortable"
87,0,"no convictions","welcome","comfortable"
88,0,"no convictions","welcome","inadequate"
89,3,"convicted",NA,"comfortable"
90,0,"no convictions","welcome","inadequate"
91,1,"convicted","welcome","inadequate"
92,8,"convicted","wanted","adequate"
93,0,"no convictions","welcome","adequate"
94,5,"convicted","wanted","adequate"
95,4,"convicted","welcome","comfortable"
96,5,"convicted",NA,"adequate"
97,0,"no convictions","welcome","comfortable"
98,0,"no convictions","welcome","inadequate"
99,0,"no convictions","wanted","comfortable"
100,0,"no convictions","welcome","adequate"
101,0,"no convictions",NA,"comfortable"
102,0,"no convictions","welcome","comfortable"
103,4,"convicted","welcome","adequate"
104,0,"no convictions","welcome","comfortable"
105,0,"no convictions","welcome","adequate"
106,0,"no convictions","wanted","comfortable"
107,2,"convicted","welcome","adequate"
108,0,"no convictions","wanted","adequate"
109,0,"no convictions","unwelcome","adequate"
110,0,"no convictions","welcome","inadequate"
111,0,"no convictions","welcome","inadequate"
112,1,"convicted","welcome","comfortable"
113,0,"no convictions","welcome","inadequate"
114,12,"convicted","welcome","inadequate"
115,0,"no convictions","welcome","adequate"
116,0,"no convictions","welcome","comfortable"
117,3,"convicted","unwelcome","inadequate"
118,1,"convicted",NA,"adequate"
119,3,"convicted","welcome","comfortable"
120,0,"no convictions","wanted","adequate"
121,3,"convicted",NA,"adequate"
122,0,"no convictions","wanted","adequate"
123,1,"convicted","welcome","comfortable"
124,0,"no convictions","wanted","comfortable"
125,0,"no convictions","welcome","adequate"
126,0,"no convictions","welcome","inadequate"
127,0,"no convictions","welcome","adequate"
128,0,"no convictions","unwelcome","adequate"
129,0,"no convictions",NA,"adequate"
130,0,"no convictions",NA,"inadequate"
131,0,"no convictions","welcome","comfortable"
132,2,"convicted","welcome","comfortable"
133,0,"no convictions","wanted","comfortable"
134,0,"no convictions","wanted","adequate"
135,0,"no convictions","welcome","adequate"
136,0,"no convictions","welcome","inadequate"
137,4,"convicted","unwelcome","inadequate"
138,0,"no convictions","welcome","comfortable"
139,NA,NA,"welcome","adequate"
140,0,"no convictions",NA,"inadequate"
141,NA,NA,NA,"adequate"
142,0,"no convictions","welcome","comfortable"
143,NA,NA,NA,"inadequate"
144,0,"no convictions","wanted","adequate"
145,7,"convicted",NA,"comfortable"
146,2,"convicted","welcome","adequate"
147,0,"no convictions","wanted","comfortable"
148,NA,NA,"wanted","comfortable"
149,6,"convicted",NA,"inadequate"
150,NA,NA,"welcome","adequate"
151,0,"no convictions","welcome","comfortable"
152,0,"no convictions","unwelcome","adequate"
153,1,"convicted","welcome","inadequate"
154,0,"no convictions","wanted","adequate"
155,0,"no convictions","welcome","comfortable"
156,0,"no convictions","unwelcome","comfortable"
157,0,"no convictions","unwelcome","comfortable"
158,14,"convicted","unwelcome","inadequate"
159,0,"no convictions","wanted","adequate"
160,0,"no convictions","unwelcome","comfortable"
161,0,"no convictions","welcome","adequate"
162,1,"convicted","unwelcome","comfortable"
163,1,"convicted","welcome","inadequate"
164,1,"convicted","welcome","adequate"
165,3,"convicted",NA,"inadequate"
166,0,"no convictions","welcome","comfortable"
167,0,"no convictions","unwelcome","adequate"
168,0,"no convictions","welcome","inadequate"
169,0,"no convictions","wanted","adequate"
170,0,"no convictions","unwelcome","adequate"
171,1,"convicted","wanted","adequate"
172,0,"no convictions","wanted","comfortable"
173,0,"no convictions","welcome","adequate"
174,0,"no convictions","unwelcome","adequate"
175,0,"no convictions","wanted","adequate"
176,0,"no convictions","wanted","adequate"
177,0,"no convictions","wanted","adequate"
178,1,"convicted","unwelcome","comfortable"
179,1,"convicted","unwelcome","adequate"
180,0,"no convictions","welcome","comfortable"
181,3,"convicted","welcome","inadequate"
182,9,"convicted","unwelcome","inadequate"
183,NA,NA,"wanted","comfortable"
184,0,"no convictions","welcome","adequate"
185,0,"no convictions","wanted","adequate"
186,0,"no convictions","unwelcome","comfortable"
187,9,"convicted","welcome","inadequate"
188,1,"convicted","unwelcome","inadequate"
189,0,"no convictions","wanted","adequate"
190,0,"no convictions","unwelcome","adequate"
191,0,"no convictions","welcome","comfortable"
192,0,"no convictions","unwelcome","comfortable"
193,0,"no convictions","wanted","comfortable"
194,0,"no convictions","welcome","inadequate"
195,NA,NA,"wanted","adequate"
196,0,"no convictions","welcome","adequate"
197,3,"convicted","welcome","adequate"
198,1,"convicted",NA,"adequate"
199,2,"convicted","unwelcome","adequate"
200,0,"no convictions","welcome","inadequate"
201,1,"convicted","unwelcome","comfortable"
202,0,"no convictions",NA,"comfortable"
203,1,"convicted","wanted","comfortable"
204,7,"convicted","welcome","inadequate"
205,0,"no convictions","wanted","adequate"
206,0,"no convictions","unwelcome","comfortable"
207,0,"no convictions","welcome","adequate"
208,0,"no convictions","welcome","inadequate"
209,0,"no convictions","wanted","inadequate"
210,0,"no convictions","welcome","comfortable"
211,1,"convicted","welcome","adequate"
212,0,"no convictions","wanted","inadequate"
213,2,"convicted","welcome","inadequate"
214,3,"convicted","welcome","inadequate"
215,0,"no convictions","welcome","adequate"
216,1,"convicted","wanted","comfortable"
217,0,"no convictions","unwelcome","inadequate"
218,0,"no convictions","unwelcome","comfortable"
219,0,"no convictions","welcome","inadequate"
220,0,"no convictions","wanted","adequate"
221,0,"no convictions","wanted","adequate"
222,0,"no convictions","wanted","adequate"
223,0,"no convictions","welcome","adequate"
224,0,"no convictions","welcome","comfortable"
225,11,"convicted","unwelcome","inadequate"
226,0,"no convictions","wanted","adequate"
227,2,"convicted","wanted","comfortable"
228,0,"no convictions","welcome","adequate"
229,0,"no convictions","wanted","adequate"
230,11,"convicted","unwelcome","inadequate"
231,0,"no convictions","welcome","adequate"
232,0,"no convictions","welcome","inadequate"
233,0,"no convictions","wanted","adequate"
234,NA,NA,"unwelcome","inadequate"
235,0,"no convictions","unwelcome","adequate"
236,1,"convicted","welcome","adequate"
237,1,"convicted","welcome","adequate"
238,NA,NA,"wanted","adequate"
239,4,"convicted","wanted","adequate"
240,0,"no convictions",NA,"adequate"
241,1,"convicted","wanted","comfortable"
242,1,"convicted","welcome","adequate"
243,0,"no convictions","wanted","comfortable"
244,0,"no convictions","welcome","adequate"
245,0,"no convictions","welcome","adequate"
246,3,"convicted","wanted","adequate"
247,0,"no convictions","wanted","adequate"
248,0,"no convictions","unwelcome","inadequate"
249,8,"convicted","wanted","adequate"
250,0,"no convictions","unwelcome","comfortable"
251,0,"no convictions","welcome","adequate"
252,8,"convicted","welcome","comfortable"
253,0,"no convictions","welcome","inadequate"
254,2,"convicted","welcome","inadequate"
255,0,"no convictions","wanted","adequate"
256,0,"no convictions","welcome","inadequate"
257,2,"convicted","welcome","comfortable"
258,3,"convicted",NA,"inadequate"
259,0,"no convictions","wanted","adequate"
260,0,"no convictions","welcome","comfortable"
261,0,"no convictions","welcome","comfortable"
262,1,"convicted","unwelcome","adequate"
263,1,"convicted","welcome","comfortable"
264,0,"no convictions","wanted","adequate"
265,1,"convicted","unwelcome","inadequate"
266,0,"no convictions","unwelcome","inadequate"
267,1,"convicted","wanted","adequate"
268,NA,NA,"unwelcome","adequate"
269,0,"no convictions","welcome","comfortable"
270,0,"no convictions","welcome","inadequate"
271,0,"no convictions","welcome","adequate"
272,0,"no convictions","unwelcome","comfortable"
273,0,"no convictions","unwelcome","comfortable"
274,0,"no convictions","unwelcome","adequate"
275,0,"no convictions","unwelcome","inadequate"
276,0,"no convictions","welcome","comfortable"
277,0,"no convictions","welcome","inadequate"
278,2,"convicted","unwelcome","adequate"
279,0,"no convictions","welcome","comfortable"
280,0,"no convictions","wanted","comfortable"
281,0,"no convictions","unwelcome","adequate"
282,0,"no convictions",NA,"comfortable"
283,1,"convicted","wanted","adequate"
284,2,"convicted","wanted","adequate"
285,0,"no convictions","welcome","comfortable"
286,0,"no convictions","welcome","comfortable"
287,0,"no convictions","unwelcome","inadequate"
288,14,"convicted","unwelcome","inadequate"
289,0,"no convictions","unwelcome","inadequate"
290,0,"no convictions","welcome","comfortable"
291,0,"no convictions","welcome","comfortable"
292,1,"convicted","welcome","adequate"
293,3,"convicted","unwelcome","adequate"
294,NA,NA,"wanted","comfortable"
295,0,"no convictions","wanted","adequate"
296,0,"no convictions","wanted","adequate"
297,0,"no convictions","wanted","comfortable"
298,11,"convicted","unwelcome","adequate"
299,5,"convicted","welcome","inadequate"
300,0,"no convictions","wanted","comfortable"
301,0,"no convictions","unwelcome","adequate"
302,2,"convicted","unwelcome","adequate"
303,0,"no convictions","welcome","comfortable"
304,0,"no convictions",NA,"adequate"
305,0,"no convictions","welcome","adequate"
306,5,"convicted","wanted","adequate"
307,0,"no convictions","wanted","adequate"
308,3,"convicted","welcome","comfortable"
309,1,"convicted","welcome","comfortable"
310,0,"no convictions","wanted","comfortable"
311,5,"convicted","welcome","inadequate"
312,0,"no convictions","wanted","adequate"
313,0,"no convictions","wanted","adequate"
314,0,"no convictions","welcome","comfortable"
315,NA,NA,"wanted","comfortable"
316,0,"no convictions","wanted","adequate"
317,0,"no convictions","unwelcome","comfortable"
318,0,"no convictions","welcome","comfortable"
319,0,"no convictions",NA,"adequate"
320,2,"convicted","wanted","inadequate"
321,0,"no convictions","unwelcome","comfortable"
322,0,"no convictions","welcome","comfortable"
323,0,"no convictions","welcome","adequate"
324,0,"no convictions","wanted","adequate"
325,4,"convicted","wanted","adequate"
326,0,"no convictions",NA,"comfortable"
327,0,"no convictions","welcome","adequate"
328,0,"no convictions","unwelcome","inadequate"
329,0,"no convictions","welcome","adequate"
330,0,"no convictions","welcome","adequate"
331,0,"no convictions","wanted","inadequate"
332,3,"convicted","unwelcome","adequate"
333,0,"no convictions","welcome","inadequate"
334,0,"no convictions","wanted","comfortable"
335,0,"no convictions","wanted","comfortable"
336,1,"convicted","welcome","comfortable"
337,0,"no convictions","welcome","comfortable"
338,0,"no convictions","welcome","comfortable"
339,0,"no convictions","wanted","adequate"
340,0,"no convictions","welcome","comfortable"
341,0,"no convictions","welcome","comfortable"
342,1,"convicted","welcome","adequate"
343,0,"no convictions",NA,"adequate"
344,3,"convicted","wanted","adequate"
345,4,"convicted","wanted","adequate"
346,0,"no convictions","welcome","adequate"
347,13,"convicted","welcome","adequate"
348,0,"no convictions","wanted","adequate"
349,0,"no convictions","wanted","comfortable"
350,0,"no convictions","welcome","adequate"
351,0,"no convictions","wanted","comfortable"
352,0,"no convictions","welcome","inadequate"
353,0,"no convictions","welcome","adequate"
354,0,"no convictions","wanted","adequate"
355,0,"no convictions","wanted","adequate"
356,0,"no convictions","wanted","adequate"
357,8,"convicted",NA,"inadequate"
358,0,"no convictions","wanted","comfortable"
359,0,"no convictions","wanted","adequate"
360,2,"convicted","unwelcome","adequate"
361,0,"no convictions","welcome","comfortable"
362,0,"no convictions","wanted","adequate"
363,0,"no convictions","wanted","comfortable"
364,0,"no convictions","unwelcome","comfortable"
365,1,"convicted","welcome","adequate"
366,1,"convicted","unwelcome","adequate"
367,12,"convicted","wanted","comfortable"
368,0,"no convictions","welcome","adequate"
369,0,"no convictions","wanted","comfortable"
370,0,"no convictions","wanted","comfortable"
371,0,"no convictions","welcome","adequate"
372,0,"no convictions","welcome","adequate"
373,0,"no convictions","unwelcome","adequate"
374,2,"convicted","welcome","comfortable"
375,0,"no convictions","welcome","adequate"
376,0,"no convictions","unwelcome","adequate"
377,5,"convicted",NA,"inadequate"
378,0,"no convictions","welcome","adequate"
379,1,"convicted","welcome","comfortable"
380,0,"no convictions","wanted","adequate"
381,1,"convicted",NA,"adequate"
382,5,"convicted","welcome","adequate"
383,5,"convicted",NA,"inadequate"
384,0,"no convictions","wanted","adequate"
385,0,"no convictions",NA,"adequate"
386,0,"no convictions","welcome","comfortable"
387,0,"no convictions","welcome","comfortable"
388,0,"no convictions","wanted","adequate"
389,0,"no convictions","welcome","adequate"
390,0,"no convictions",NA,"adequate"
391,0,"no convictions","welcome","adequate"
392,0,"no convictions","unwelcome","inadequate"
393,0,"no convictions","welcome","adequate"
394,1,"convicted","unwelcome","comfortable"
395,0,"no convictions",NA,"adequate"
396,1,"convicted","unwelcome","adequate"
397,NA,NA,"wanted","adequate"
398,0,"no convictions","wanted","inadequate"
399,1,"convicted","unwelcome","comfortable"
400,0,"no convictions","welcome","inadequate"
401,0,"no convictions","unwelcome","adequate"
402,NA,NA,"welcome","inadequate"
403,0,"no convictions","unwelcome","adequate"
404,0,"no convictions","wanted","inadequate"
405,5,"convicted","welcome","inadequate"
406,0,"no convictions","wanted","inadequate"
407,0,"no convictions","unwelcome","comfortable"
408,0,"no convictions","welcome","comfortable"
409,3,"convicted",NA,"adequate"
410,1,"convicted","welcome","comfortable"
411,10,"convicted",NA,"comfortable"
