sound,direction
fire,away
fire,away
fire,away
fire,away
fire,away
fire,away
fire,away
fire,away
fire,away
fire,away
fire,away
fire,away
fire,away
fire,away
fire,away
fire,away
fire,away
fire,away
fire,not away
fire,not away
backwards,away
backwards,away
backwards,away
backwards,away
backwards,away
backwards,away
backwards,not away
backwards,not away
backwards,not away
backwards,not away
backwards,not away
backwards,not away
backwards,not away
backwards,not away
backwards,not away
backwards,not away
backwards,not away
backwards,not away
backwards,not away
backwards,not away
noise,not away
noise,not away
noise,not away
noise,not away
noise,not away
noise,not away
noise,not away
noise,not away
noise,not away
noise,not away
noise,not away
noise,not away
noise,not away
noise,not away
noise,not away
noise,not away
noise,not away
noise,not away
noise,not away
noise,not away