location,sterility
France,sterile
France,sterile
France,sterile
France,sterile
France,sterile
France,sterile
France,sterile
France,sterile
France,sterile
France,sterile
France,sterile
France,sterile
France,sterile
France,sterile
France,sterile
France,sterile
France,sterile
France,sterile
France,sterile
France,sterile
France,sterile
France,sterile
France,sterile
France,sterile
France,sterile
France,sterile
France,sterile
France,sterile
France,sterile
France,sterile
France,sterile
France,sterile
France,fertile
France,fertile
France,fertile
France,fertile
France,fertile
France,fertile
France,fertile
France,fertile
France,fertile
France,fertile
France,fertile
France,fertile
France,fertile
France,fertile
France,fertile
France,fertile
France,fertile
France,fertile
India,sterile
India,sterile
India,sterile
India,sterile
India,sterile
India,sterile
India,sterile
India,sterile
India,sterile
India,sterile
India,sterile
India,sterile
India,sterile
India,sterile
India,sterile
India,sterile
India,sterile
India,sterile
India,sterile
India,sterile
India,fertile
India,fertile
India,fertile
India,fertile
India,fertile
India,fertile
India,fertile
India,fertile
India,fertile
India,fertile
India,fertile
India,fertile
India,fertile
India,fertile
India,fertile
India,fertile
India,fertile
India,fertile
India,fertile
India,fertile
India,fertile
India,fertile
India,fertile
India,fertile
India,fertile
India,fertile
India,fertile
India,fertile
India,fertile
India,fertile