"lifespanDays","treatment","fertility"
4,"high-cost","sterile"
4,"high-cost","sterile"
5,"high-cost","sterile"
12,"high-cost","sterile"
12,"high-cost","sterile"
12,"high-cost","sterile"
13,"high-cost","sterile"
13,"high-cost","sterile"
13,"high-cost","sterile"
14,"high-cost","sterile"
17,"high-cost","sterile"
17,"high-cost","sterile"
18,"high-cost","sterile"
18,"high-cost","sterile"
18,"high-cost","sterile"
18,"high-cost","sterile"
18,"high-cost","sterile"
18,"high-cost","sterile"
18,"high-cost","sterile"
18,"high-cost","sterile"
18,"high-cost","sterile"
18,"high-cost","sterile"
18,"high-cost","sterile"
20,"high-cost","sterile"
20,"high-cost","sterile"
20,"high-cost","sterile"
20,"high-cost","sterile"
20,"high-cost","sterile"
20,"high-cost","sterile"
20,"high-cost","sterile"
20,"high-cost","sterile"
20,"high-cost","sterile"
21,"high-cost","sterile"
21,"high-cost","sterile"
21,"high-cost","sterile"
21,"high-cost","sterile"
21,"high-cost","sterile"
21,"high-cost","sterile"
21,"high-cost","sterile"
21,"high-cost","sterile"
21,"high-cost","sterile"
21,"high-cost","sterile"
21,"high-cost","sterile"
21,"high-cost","sterile"
21,"high-cost","sterile"
21,"high-cost","sterile"
21,"high-cost","sterile"
21,"high-cost","sterile"
21,"high-cost","sterile"
21,"high-cost","sterile"
22,"high-cost","sterile"
22,"high-cost","sterile"
22,"high-cost","sterile"
22,"high-cost","sterile"
22,"high-cost","sterile"
23,"high-cost","sterile"
23,"high-cost","sterile"
23,"high-cost","sterile"
23,"high-cost","sterile"
23,"high-cost","sterile"
23,"high-cost","sterile"
23,"high-cost","sterile"
23,"high-cost","sterile"
23,"high-cost","sterile"
23,"high-cost","sterile"
23,"high-cost","sterile"
24,"high-cost","sterile"
24,"high-cost","sterile"
24,"high-cost","sterile"
24,"high-cost","sterile"
24,"high-cost","sterile"
24,"high-cost","sterile"
24,"high-cost","sterile"
24,"high-cost","sterile"
24,"high-cost","sterile"
24,"high-cost","sterile"
24,"high-cost","sterile"
24,"high-cost","sterile"
24,"high-cost","sterile"
24,"high-cost","sterile"
24,"high-cost","sterile"
24,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
26,"high-cost","sterile"
26,"high-cost","sterile"
26,"high-cost","sterile"
26,"high-cost","sterile"
26,"high-cost","sterile"
26,"high-cost","sterile"
26,"high-cost","sterile"
26,"high-cost","sterile"
26,"high-cost","sterile"
26,"high-cost","sterile"
26,"high-cost","sterile"
26,"high-cost","sterile"
27,"high-cost","sterile"
27,"high-cost","sterile"
27,"high-cost","sterile"
27,"high-cost","sterile"
27,"high-cost","sterile"
27,"high-cost","sterile"
27,"high-cost","sterile"
27,"high-cost","sterile"
27,"high-cost","sterile"
27,"high-cost","sterile"
27,"high-cost","sterile"
27,"high-cost","sterile"
27,"high-cost","sterile"
27,"high-cost","sterile"
27,"high-cost","sterile"
28,"high-cost","sterile"
28,"high-cost","sterile"
28,"high-cost","sterile"
28,"high-cost","sterile"
28,"high-cost","sterile"
28,"high-cost","sterile"
28,"high-cost","sterile"
28,"high-cost","sterile"
28,"high-cost","sterile"
28,"high-cost","sterile"
28,"high-cost","sterile"
28,"high-cost","sterile"
28,"high-cost","sterile"
28,"high-cost","sterile"
28,"high-cost","sterile"
28,"high-cost","sterile"
28,"high-cost","sterile"
28,"high-cost","sterile"
28,"high-cost","sterile"
28,"high-cost","sterile"
28,"high-cost","sterile"
29,"high-cost","sterile"
29,"high-cost","sterile"
29,"high-cost","sterile"
29,"high-cost","sterile"
29,"high-cost","sterile"
29,"high-cost","sterile"
29,"high-cost","sterile"
29,"high-cost","sterile"
29,"high-cost","sterile"
29,"high-cost","sterile"
29,"high-cost","sterile"
29,"high-cost","sterile"
29,"high-cost","sterile"
29,"high-cost","sterile"
29,"high-cost","sterile"
29,"high-cost","sterile"
29,"high-cost","sterile"
29,"high-cost","sterile"
30,"high-cost","sterile"
30,"high-cost","sterile"
30,"high-cost","sterile"
30,"high-cost","sterile"
30,"high-cost","sterile"
30,"high-cost","sterile"
30,"high-cost","sterile"
31,"high-cost","sterile"
32,"high-cost","sterile"
32,"high-cost","sterile"
32,"high-cost","sterile"
32,"high-cost","sterile"
32,"high-cost","sterile"
32,"high-cost","sterile"
32,"high-cost","sterile"
32,"high-cost","sterile"
33,"high-cost","sterile"
33,"high-cost","sterile"
33,"high-cost","sterile"
33,"high-cost","sterile"
33,"high-cost","sterile"
34,"high-cost","sterile"
34,"high-cost","sterile"
36,"high-cost","sterile"
36,"high-cost","sterile"
36,"high-cost","sterile"
36,"high-cost","sterile"
37,"high-cost","sterile"
38,"high-cost","sterile"
38,"high-cost","sterile"
39,"high-cost","sterile"
41,"high-cost","sterile"
2,"high-cost","fertile"
4,"high-cost","fertile"
5,"high-cost","fertile"
5,"high-cost","fertile"
5,"high-cost","fertile"
5,"high-cost","fertile"
9,"high-cost","fertile"
12,"high-cost","fertile"
12,"high-cost","fertile"
12,"high-cost","fertile"
12,"high-cost","fertile"
13,"high-cost","fertile"
13,"high-cost","fertile"
13,"high-cost","fertile"
13,"high-cost","fertile"
13,"high-cost","fertile"
13,"high-cost","fertile"
13,"high-cost","fertile"
13,"high-cost","fertile"
13,"high-cost","fertile"
13,"high-cost","fertile"
13,"high-cost","fertile"
14,"high-cost","fertile"
16,"high-cost","fertile"
16,"high-cost","fertile"
17,"high-cost","fertile"
18,"high-cost","fertile"
18,"high-cost","fertile"
18,"high-cost","fertile"
18,"high-cost","fertile"
18,"high-cost","fertile"
18,"high-cost","fertile"
18,"high-cost","fertile"
18,"high-cost","fertile"
18,"high-cost","fertile"
18,"high-cost","fertile"
18,"high-cost","fertile"
18,"high-cost","fertile"
18,"high-cost","fertile"
18,"high-cost","fertile"
18,"high-cost","fertile"
18,"high-cost","fertile"
18,"high-cost","fertile"
20,"high-cost","fertile"
20,"high-cost","fertile"
20,"high-cost","fertile"
20,"high-cost","fertile"
20,"high-cost","fertile"
20,"high-cost","fertile"
20,"high-cost","fertile"
20,"high-cost","fertile"
20,"high-cost","fertile"
21,"high-cost","fertile"
21,"high-cost","fertile"
21,"high-cost","fertile"
21,"high-cost","fertile"
21,"high-cost","fertile"
21,"high-cost","fertile"
21,"high-cost","fertile"
21,"high-cost","fertile"
21,"high-cost","fertile"
21,"high-cost","fertile"
21,"high-cost","fertile"
21,"high-cost","fertile"
21,"high-cost","fertile"
21,"high-cost","fertile"
21,"high-cost","fertile"
21,"high-cost","fertile"
21,"high-cost","fertile"
21,"high-cost","fertile"
21,"high-cost","fertile"
21,"high-cost","fertile"
21,"high-cost","fertile"
21,"high-cost","fertile"
21,"high-cost","fertile"
21,"high-cost","fertile"
22,"high-cost","fertile"
22,"high-cost","fertile"
22,"high-cost","fertile"
22,"high-cost","fertile"
22,"high-cost","fertile"
22,"high-cost","fertile"
22,"high-cost","fertile"
23,"high-cost","fertile"
23,"high-cost","fertile"
23,"high-cost","fertile"
23,"high-cost","fertile"
23,"high-cost","fertile"
23,"high-cost","fertile"
23,"high-cost","fertile"
23,"high-cost","fertile"
23,"high-cost","fertile"
23,"high-cost","fertile"
23,"high-cost","fertile"
23,"high-cost","fertile"
23,"high-cost","fertile"
23,"high-cost","fertile"
23,"high-cost","fertile"
24,"high-cost","fertile"
24,"high-cost","fertile"
24,"high-cost","fertile"
24,"high-cost","fertile"
24,"high-cost","fertile"
24,"high-cost","fertile"
24,"high-cost","fertile"
24,"high-cost","fertile"
24,"high-cost","fertile"
24,"high-cost","fertile"
24,"high-cost","fertile"
24,"high-cost","fertile"
25,"high-cost","fertile"
25,"high-cost","fertile"
25,"high-cost","fertile"
25,"high-cost","fertile"
25,"high-cost","fertile"
25,"high-cost","fertile"
25,"high-cost","fertile"
25,"high-cost","fertile"
25,"high-cost","fertile"
25,"high-cost","fertile"
25,"high-cost","fertile"
25,"high-cost","fertile"
25,"high-cost","fertile"
25,"high-cost","fertile"
25,"high-cost","fertile"
25,"high-cost","fertile"
25,"high-cost","fertile"
25,"high-cost","fertile"
25,"high-cost","fertile"
25,"high-cost","fertile"
26,"high-cost","fertile"
26,"high-cost","fertile"
26,"high-cost","fertile"
26,"high-cost","fertile"
26,"high-cost","fertile"
26,"high-cost","fertile"
26,"high-cost","fertile"
26,"high-cost","fertile"
26,"high-cost","fertile"
26,"high-cost","fertile"
26,"high-cost","fertile"
27,"high-cost","fertile"
27,"high-cost","fertile"
27,"high-cost","fertile"
27,"high-cost","fertile"
27,"high-cost","fertile"
27,"high-cost","fertile"
27,"high-cost","fertile"
27,"high-cost","fertile"
27,"high-cost","fertile"
27,"high-cost","fertile"
27,"high-cost","fertile"
28,"high-cost","fertile"
28,"high-cost","fertile"
28,"high-cost","fertile"
28,"high-cost","fertile"
28,"high-cost","fertile"
28,"high-cost","fertile"
28,"high-cost","fertile"
28,"high-cost","fertile"
28,"high-cost","fertile"
28,"high-cost","fertile"
28,"high-cost","fertile"
28,"high-cost","fertile"
28,"high-cost","fertile"
28,"high-cost","fertile"
28,"high-cost","fertile"
28,"high-cost","fertile"
28,"high-cost","fertile"
28,"high-cost","fertile"
28,"high-cost","fertile"
28,"high-cost","fertile"
28,"high-cost","fertile"
28,"high-cost","fertile"
29,"high-cost","fertile"
29,"high-cost","fertile"
29,"high-cost","fertile"
29,"high-cost","fertile"
29,"high-cost","fertile"
29,"high-cost","fertile"
29,"high-cost","fertile"
29,"high-cost","fertile"
29,"high-cost","fertile"
29,"high-cost","fertile"
29,"high-cost","fertile"
29,"high-cost","fertile"
30,"high-cost","fertile"
30,"high-cost","fertile"
30,"high-cost","fertile"
30,"high-cost","fertile"
30,"high-cost","fertile"
30,"high-cost","fertile"
31,"high-cost","fertile"
31,"high-cost","fertile"
32,"high-cost","fertile"
32,"high-cost","fertile"
32,"high-cost","fertile"
32,"high-cost","fertile"
32,"high-cost","fertile"
32,"high-cost","fertile"
32,"high-cost","fertile"
33,"high-cost","fertile"
33,"high-cost","fertile"
34,"high-cost","fertile"
34,"high-cost","fertile"
34,"high-cost","fertile"
36,"high-cost","fertile"
37,"high-cost","fertile"
37,"high-cost","fertile"
40,"high-cost","fertile"
2,"low-cost","fertile"
2,"low-cost","fertile"
2,"low-cost","fertile"
4,"low-cost","fertile"
4,"low-cost","fertile"
4,"low-cost","fertile"
4,"low-cost","fertile"
4,"low-cost","fertile"
5,"low-cost","fertile"
8,"low-cost","fertile"
8,"low-cost","fertile"
9,"low-cost","fertile"
11,"low-cost","fertile"
12,"low-cost","fertile"
12,"low-cost","fertile"
12,"low-cost","fertile"
12,"low-cost","fertile"
13,"low-cost","fertile"
13,"low-cost","fertile"
13,"low-cost","fertile"
13,"low-cost","fertile"
17,"low-cost","fertile"
18,"low-cost","fertile"
18,"low-cost","fertile"
18,"low-cost","fertile"
18,"low-cost","fertile"
18,"low-cost","fertile"
18,"low-cost","fertile"
18,"low-cost","fertile"
18,"low-cost","fertile"
18,"low-cost","fertile"
18,"low-cost","fertile"
18,"low-cost","fertile"
20,"low-cost","fertile"
20,"low-cost","fertile"
20,"low-cost","fertile"
20,"low-cost","fertile"
20,"low-cost","fertile"
20,"low-cost","fertile"
21,"low-cost","fertile"
21,"low-cost","fertile"
21,"low-cost","fertile"
21,"low-cost","fertile"
21,"low-cost","fertile"
21,"low-cost","fertile"
21,"low-cost","fertile"
22,"low-cost","fertile"
22,"low-cost","fertile"
22,"low-cost","fertile"
24,"low-cost","fertile"
24,"low-cost","fertile"
24,"low-cost","fertile"
24,"low-cost","fertile"
24,"low-cost","fertile"
24,"low-cost","fertile"
25,"low-cost","fertile"
25,"low-cost","fertile"
25,"low-cost","fertile"
25,"low-cost","fertile"
25,"low-cost","fertile"
25,"low-cost","fertile"
25,"low-cost","fertile"
25,"low-cost","fertile"
25,"low-cost","fertile"
25,"low-cost","fertile"
25,"low-cost","fertile"
25,"low-cost","fertile"
25,"low-cost","fertile"
25,"low-cost","fertile"
25,"low-cost","fertile"
27,"low-cost","fertile"
27,"low-cost","fertile"
27,"low-cost","fertile"
28,"low-cost","fertile"
28,"low-cost","fertile"
28,"low-cost","fertile"
28,"low-cost","fertile"
29,"low-cost","fertile"
29,"low-cost","fertile"
29,"low-cost","fertile"
29,"low-cost","fertile"
29,"low-cost","fertile"
29,"low-cost","fertile"
30,"low-cost","fertile"
30,"low-cost","fertile"
30,"low-cost","fertile"
30,"low-cost","fertile"
30,"low-cost","fertile"
30,"low-cost","fertile"
30,"low-cost","fertile"
31,"low-cost","fertile"
31,"low-cost","fertile"
31,"low-cost","fertile"
31,"low-cost","fertile"
31,"low-cost","fertile"
31,"low-cost","fertile"
31,"low-cost","fertile"
31,"low-cost","fertile"
31,"low-cost","fertile"
31,"low-cost","fertile"
32,"low-cost","fertile"
32,"low-cost","fertile"
32,"low-cost","fertile"
32,"low-cost","fertile"
32,"low-cost","fertile"
32,"low-cost","fertile"
32,"low-cost","fertile"
32,"low-cost","fertile"
32,"low-cost","fertile"
32,"low-cost","fertile"
32,"low-cost","fertile"
32,"low-cost","fertile"
33,"low-cost","fertile"
33,"low-cost","fertile"
33,"low-cost","fertile"
33,"low-cost","fertile"
33,"low-cost","fertile"
33,"low-cost","fertile"
33,"low-cost","fertile"
33,"low-cost","fertile"
33,"low-cost","fertile"
33,"low-cost","fertile"
33,"low-cost","fertile"
33,"low-cost","fertile"
33,"low-cost","fertile"
33,"low-cost","fertile"
34,"low-cost","fertile"
34,"low-cost","fertile"
34,"low-cost","fertile"
34,"low-cost","fertile"
34,"low-cost","fertile"
34,"low-cost","fertile"
35,"low-cost","fertile"
35,"low-cost","fertile"
35,"low-cost","fertile"
35,"low-cost","fertile"
35,"low-cost","fertile"
35,"low-cost","fertile"
35,"low-cost","fertile"
36,"low-cost","fertile"
36,"low-cost","fertile"
36,"low-cost","fertile"
36,"low-cost","fertile"
36,"low-cost","fertile"
36,"low-cost","fertile"
36,"low-cost","fertile"
37,"low-cost","fertile"
37,"low-cost","fertile"
37,"low-cost","fertile"
37,"low-cost","fertile"
37,"low-cost","fertile"
37,"low-cost","fertile"
37,"low-cost","fertile"
37,"low-cost","fertile"
37,"low-cost","fertile"
37,"low-cost","fertile"
37,"low-cost","fertile"
38,"low-cost","fertile"
38,"low-cost","fertile"
38,"low-cost","fertile"
38,"low-cost","fertile"
38,"low-cost","fertile"
38,"low-cost","fertile"
39,"low-cost","fertile"
39,"low-cost","fertile"
39,"low-cost","fertile"
39,"low-cost","fertile"
39,"low-cost","fertile"
39,"low-cost","fertile"
39,"low-cost","fertile"
39,"low-cost","fertile"
39,"low-cost","fertile"
40,"low-cost","fertile"
40,"low-cost","fertile"
40,"low-cost","fertile"
40,"low-cost","fertile"
40,"low-cost","fertile"
40,"low-cost","fertile"
40,"low-cost","fertile"
40,"low-cost","fertile"
40,"low-cost","fertile"
40,"low-cost","fertile"
41,"low-cost","fertile"
41,"low-cost","fertile"
41,"low-cost","fertile"
41,"low-cost","fertile"
41,"low-cost","fertile"
41,"low-cost","fertile"
41,"low-cost","fertile"
41,"low-cost","fertile"
41,"low-cost","fertile"
42,"low-cost","fertile"
42,"low-cost","fertile"
42,"low-cost","fertile"
42,"low-cost","fertile"
43,"low-cost","fertile"
43,"low-cost","fertile"
43,"low-cost","fertile"
44,"low-cost","fertile"
44,"low-cost","fertile"
44,"low-cost","fertile"
45,"low-cost","fertile"
45,"low-cost","fertile"
47,"low-cost","fertile"
47,"low-cost","fertile"
47,"low-cost","fertile"
47,"low-cost","fertile"
52,"low-cost","fertile"
52,"low-cost","fertile"
56,"low-cost","fertile"
2,"low-cost","sterile"
2,"low-cost","sterile"
2,"low-cost","sterile"
5,"low-cost","sterile"
8,"low-cost","sterile"
8,"low-cost","sterile"
12,"low-cost","sterile"
12,"low-cost","sterile"
17,"low-cost","sterile"
17,"low-cost","sterile"
18,"low-cost","sterile"
20,"low-cost","sterile"
20,"low-cost","sterile"
20,"low-cost","sterile"
20,"low-cost","sterile"
20,"low-cost","sterile"
21,"low-cost","sterile"
21,"low-cost","sterile"
21,"low-cost","sterile"
21,"low-cost","sterile"
21,"low-cost","sterile"
22,"low-cost","sterile"
22,"low-cost","sterile"
22,"low-cost","sterile"
22,"low-cost","sterile"
23,"low-cost","sterile"
23,"low-cost","sterile"
24,"low-cost","sterile"
24,"low-cost","sterile"
24,"low-cost","sterile"
24,"low-cost","sterile"
24,"low-cost","sterile"
25,"low-cost","sterile"
25,"low-cost","sterile"
25,"low-cost","sterile"
25,"low-cost","sterile"
25,"low-cost","sterile"
25,"low-cost","sterile"
25,"low-cost","sterile"
25,"low-cost","sterile"
25,"low-cost","sterile"
25,"low-cost","sterile"
25,"low-cost","sterile"
25,"low-cost","sterile"
25,"low-cost","sterile"
25,"low-cost","sterile"
25,"low-cost","sterile"
26,"low-cost","sterile"
26,"low-cost","sterile"
26,"low-cost","sterile"
26,"low-cost","sterile"
26,"low-cost","sterile"
26,"low-cost","sterile"
26,"low-cost","sterile"
27,"low-cost","sterile"
27,"low-cost","sterile"
27,"low-cost","sterile"
27,"low-cost","sterile"
27,"low-cost","sterile"
27,"low-cost","sterile"
28,"low-cost","sterile"
28,"low-cost","sterile"
28,"low-cost","sterile"
28,"low-cost","sterile"
28,"low-cost","sterile"
28,"low-cost","sterile"
28,"low-cost","sterile"
28,"low-cost","sterile"
28,"low-cost","sterile"
28,"low-cost","sterile"
28,"low-cost","sterile"
28,"low-cost","sterile"
29,"low-cost","sterile"
29,"low-cost","sterile"
29,"low-cost","sterile"
29,"low-cost","sterile"
29,"low-cost","sterile"
29,"low-cost","sterile"
29,"low-cost","sterile"
30,"low-cost","sterile"
30,"low-cost","sterile"
30,"low-cost","sterile"
30,"low-cost","sterile"
30,"low-cost","sterile"
30,"low-cost","sterile"
30,"low-cost","sterile"
31,"low-cost","sterile"
31,"low-cost","sterile"
31,"low-cost","sterile"
31,"low-cost","sterile"
31,"low-cost","sterile"
32,"low-cost","sterile"
32,"low-cost","sterile"
32,"low-cost","sterile"
32,"low-cost","sterile"
32,"low-cost","sterile"
32,"low-cost","sterile"
32,"low-cost","sterile"
32,"low-cost","sterile"
32,"low-cost","sterile"
33,"low-cost","sterile"
33,"low-cost","sterile"
33,"low-cost","sterile"
33,"low-cost","sterile"
33,"low-cost","sterile"
33,"low-cost","sterile"
33,"low-cost","sterile"
33,"low-cost","sterile"
34,"low-cost","sterile"
34,"low-cost","sterile"
34,"low-cost","sterile"
34,"low-cost","sterile"
34,"low-cost","sterile"
34,"low-cost","sterile"
34,"low-cost","sterile"
34,"low-cost","sterile"
34,"low-cost","sterile"
35,"low-cost","sterile"
35,"low-cost","sterile"
35,"low-cost","sterile"
35,"low-cost","sterile"
35,"low-cost","sterile"
36,"low-cost","sterile"
36,"low-cost","sterile"
36,"low-cost","sterile"
36,"low-cost","sterile"
36,"low-cost","sterile"
36,"low-cost","sterile"
36,"low-cost","sterile"
36,"low-cost","sterile"
37,"low-cost","sterile"
37,"low-cost","sterile"
37,"low-cost","sterile"
37,"low-cost","sterile"
37,"low-cost","sterile"
37,"low-cost","sterile"
37,"low-cost","sterile"
37,"low-cost","sterile"
37,"low-cost","sterile"
37,"low-cost","sterile"
37,"low-cost","sterile"
37,"low-cost","sterile"
37,"low-cost","sterile"
37,"low-cost","sterile"
37,"low-cost","sterile"
37,"low-cost","sterile"
37,"low-cost","sterile"
37,"low-cost","sterile"
37,"low-cost","sterile"
37,"low-cost","sterile"
37,"low-cost","sterile"
38,"low-cost","sterile"
38,"low-cost","sterile"
38,"low-cost","sterile"
38,"low-cost","sterile"
38,"low-cost","sterile"
38,"low-cost","sterile"
38,"low-cost","sterile"
38,"low-cost","sterile"
39,"low-cost","sterile"
39,"low-cost","sterile"
39,"low-cost","sterile"
40,"low-cost","sterile"
40,"low-cost","sterile"
40,"low-cost","sterile"
40,"low-cost","sterile"
40,"low-cost","sterile"
40,"low-cost","sterile"
40,"low-cost","sterile"
41,"low-cost","sterile"
41,"low-cost","sterile"
41,"low-cost","sterile"
41,"low-cost","sterile"
41,"low-cost","sterile"
41,"low-cost","sterile"
41,"low-cost","sterile"
41,"low-cost","sterile"
41,"low-cost","sterile"
41,"low-cost","sterile"
41,"low-cost","sterile"
41,"low-cost","sterile"
41,"low-cost","sterile"
41,"low-cost","sterile"
41,"low-cost","sterile"
41,"low-cost","sterile"
41,"low-cost","sterile"
41,"low-cost","sterile"
41,"low-cost","sterile"
41,"low-cost","sterile"
43,"low-cost","sterile"
43,"low-cost","sterile"
43,"low-cost","sterile"
44,"low-cost","sterile"
44,"low-cost","sterile"
44,"low-cost","sterile"
45,"low-cost","sterile"
45,"low-cost","sterile"
46,"low-cost","sterile"
46,"low-cost","sterile"
47,"low-cost","sterile"
48,"low-cost","sterile"
48,"low-cost","sterile"
48,"low-cost","sterile"
48,"low-cost","sterile"
48,"low-cost","sterile"
48,"low-cost","sterile"
48,"low-cost","sterile"
48,"low-cost","sterile"
50,"low-cost","sterile"
51,"low-cost","sterile"
52,"low-cost","sterile"
54,"low-cost","sterile"
